Molecule	OriginalName	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
mol_89_0_4	mol_89	0.308	0.285	0.023	0.517	0.468	0.048	0.464	0.421	0.043	1620.72
mol_74_0_0	mol_74	0.308	0.214	0.094	0.516	0.346	0.17	0.534	0.36	0.174	1396.272
mol_51_0_0	mol_51	0.307	0.232	0.075	0.529	0.386	0.143	0.505	0.369	0.136	1424.728
mol_66_0_1	mol_66	0.307	0.271	0.036	0.507	0.437	0.07	0.485	0.417	0.068	1610.567
mol_65_0_0	mol_65	0.306	0.266	0.04	0.505	0.43	0.075	0.492	0.412	0.08	1590.88
mol_9_0_3	mol_9	0.306	0.249	0.057	0.535	0.421	0.114	0.482	0.378	0.103	1457.182
mol_31_0_0	mol_31	0.305	0.264	0.041	0.502	0.428	0.074	0.493	0.409	0.083	1581.856
mol_71_0_1	mol_71	0.305	0.232	0.073	0.521	0.383	0.138	0.505	0.37	0.135	1431.825
mol_84_0_4	mol_84	0.305	0.259	0.046	0.493	0.409	0.084	0.507	0.413	0.093	1600.911
mol_98_0_3	mol_98	0.304	0.252	0.053	0.489	0.393	0.095	0.517	0.411	0.106	1597.106
mol_3_0_2	mol_3	0.304	0.212	0.093	0.516	0.346	0.17	0.522	0.352	0.17	1365.882
mol_14_0_3	mol_14	0.304	0.23	0.074	0.532	0.391	0.141	0.494	0.358	0.136	1381.773
mol_28_0_1	mol_28	0.304	0.229	0.075	0.505	0.367	0.138	0.519	0.378	0.141	1466.046
mol_31_0_2	mol_31	0.304	0.219	0.085	0.514	0.366	0.148	0.519	0.352	0.167	1361.689
mol_79_0_4	mol_79	0.304	0.253	0.051	0.497	0.401	0.096	0.504	0.406	0.099	1571.936
mol_83_0_1	mol_83	0.304	0.253	0.051	0.509	0.413	0.096	0.492	0.395	0.098	1523.997
mol_62_0_2	mol_62	0.303	0.257	0.047	0.516	0.424	0.092	0.48	0.394	0.086	1519.456
mol_80_0_3	mol_80	0.302	0.234	0.068	0.535	0.401	0.134	0.48	0.36	0.121	1384.776
mol_90_0_2	mol_90	0.301	0.269	0.031	0.512	0.448	0.064	0.461	0.403	0.058	1552.586
mol_22_0_3	mol_22	0.301	0.258	0.043	0.514	0.428	0.086	0.472	0.393	0.08	1513.813
mol_45_0_3	mol_45	0.3	0.234	0.066	0.507	0.382	0.125	0.499	0.377	0.122	1457.62
mol_86_0_2	mol_86	0.3	0.215	0.084	0.522	0.363	0.159	0.498	0.346	0.152	1335.11
mol_38_0_0	mol_38	0.3	0.243	0.056	0.479	0.376	0.103	0.518	0.408	0.111	1585.966
mol_83_0_3	mol_83	0.299	0.258	0.041	0.498	0.419	0.078	0.482	0.402	0.079	1554.839
mol_76_0_2	mol_76	0.299	0.269	0.03	0.481	0.424	0.058	0.483	0.425	0.058	1645.247
mol_68_0_1	mol_68	0.298	0.224	0.074	0.529	0.385	0.144	0.482	0.349	0.133	1343.4
mol_46_0_3	mol_46	0.298	0.254	0.044	0.498	0.412	0.086	0.482	0.398	0.084	1537.078
mol_26_0_1	mol_26	0.298	0.214	0.084	0.514	0.358	0.156	0.499	0.347	0.152	1340.662
mol_86_0_1	mol_86	0.297	0.25	0.047	0.503	0.41	0.093	0.479	0.39	0.088	1506.992
mol_22_0_4	mol_22	0.297	0.239	0.058	0.518	0.403	0.115	0.476	0.37	0.106	1426.892
mol_56_0_1	mol_56	0.297	0.231	0.065	0.523	0.395	0.128	0.477	0.359	0.118	1381.293
mol_69_0_2	mol_69	0.297	0.261	0.036	0.491	0.422	0.069	0.476	0.405	0.07	1565.812
mol_87_0_1	mol_87	0.297	0.262	0.034	0.49	0.423	0.067	0.475	0.409	0.066	1580.446
mol_80_0_0	mol_80	0.297	0.24	0.056	0.522	0.409	0.112	0.47	0.368	0.101	1417.815
mol_60_0_1	mol_60	0.296	0.266	0.031	0.483	0.424	0.059	0.476	0.416	0.06	1608.724
mol_14_0_0	mol_14	0.296	0.239	0.056	0.513	0.404	0.109	0.475	0.37	0.105	1427.015
mol_24_0_0	mol_24	0.294	0.254	0.04	0.467	0.393	0.074	0.499	0.419	0.08	1630.083
mol_66_0_0	mol_66	0.293	0.222	0.072	0.506	0.371	0.135	0.487	0.355	0.132	1371.57
mol_97_0_2	mol_97	0.293	0.223	0.07	0.462	0.345	0.118	0.533	0.387	0.146	1510.15
mol_76_0_3	mol_76	0.292	0.253	0.04	0.479	0.403	0.076	0.481	0.404	0.077	1565.493
mol_78_0_1	mol_78	0.291	0.258	0.033	0.457	0.395	0.061	0.492	0.427	0.065	1662.348
mol_54_0_2	mol_54	0.29	0.24	0.05	0.466	0.372	0.094	0.501	0.403	0.098	1568.21
mol_20_0_0	mol_20	0.29	0.232	0.058	0.494	0.386	0.108	0.477	0.367	0.11	1415.886
mol_30_0_0	mol_30	0.289	0.237	0.053	0.494	0.391	0.103	0.472	0.375	0.097	1449.045
mol_68_0_2	mol_68	0.289	0.252	0.037	0.497	0.422	0.074	0.453	0.384	0.069	1478.91
mol_6_0_3	mol_6	0.288	0.236	0.052	0.5	0.397	0.104	0.464	0.368	0.096	1419.195
mol_86_0_3	mol_86	0.288	0.23	0.058	0.496	0.383	0.113	0.472	0.364	0.108	1406.434
mol_52_0_3	mol_52	0.285	0.251	0.034	0.491	0.422	0.069	0.446	0.383	0.064	1474.13
mol_15_0_4	mol_15	0.285	0.249	0.036	0.478	0.408	0.07	0.46	0.389	0.071	1503.735
mol_95_0_2	mol_95	0.285	0.241	0.044	0.48	0.394	0.086	0.466	0.382	0.084	1477.06
mol_48_0_1	mol_48	0.285	0.25	0.035	0.455	0.389	0.066	0.48	0.41	0.07	1593.679
mol_20_0_1	mol_20	0.284	0.259	0.025	0.472	0.423	0.049	0.451	0.401	0.05	1547.29
mol_63_0_3	mol_63	0.284	0.254	0.03	0.457	0.403	0.054	0.471	0.407	0.064	1576.326
mol_91_0_1	mol_91	0.283	0.249	0.035	0.444	0.382	0.062	0.489	0.416	0.073	1618.47
mol_34_0_3	mol_34	0.283	0.183	0.1	0.494	0.311	0.183	0.487	0.308	0.179	1191.338
mol_20_0_3	mol_20	0.282	0.244	0.038	0.476	0.403	0.073	0.456	0.382	0.074	1476.276
mol_36_0_0	mol_36	0.282	0.253	0.029	0.466	0.409	0.057	0.454	0.398	0.056	1538.643
mol_47_0_4	mol_47	0.281	0.221	0.06	0.502	0.383	0.119	0.451	0.344	0.107	1324.921
mol_64_0_1	mol_64	0.281	0.245	0.036	0.471	0.4	0.071	0.455	0.386	0.069	1491.713
mol_72_0_3	mol_72	0.281	0.229	0.051	0.464	0.369	0.095	0.478	0.377	0.101	1460.821
mol_80_0_1	mol_80	0.28	0.242	0.038	0.49	0.413	0.077	0.44	0.37	0.069	1425.392
mol_74_0_1	mol_74	0.28	0.227	0.053	0.463	0.363	0.1	0.479	0.377	0.102	1461.296
mol_32_0_3	mol_32	0.279	0.24	0.039	0.474	0.398	0.077	0.451	0.377	0.075	1454.609
mol_14_0_2	mol_14	0.279	0.23	0.049	0.486	0.391	0.095	0.45	0.358	0.092	1380.696
mol_32_0_2	mol_32	0.278	0.214	0.063	0.483	0.363	0.121	0.461	0.343	0.118	1325.294
mol_75_0_1	mol_75	0.276	0.241	0.034	0.451	0.385	0.066	0.46	0.393	0.067	1522.508
mol_20_0_2	mol_20	0.276	0.221	0.055	0.475	0.371	0.104	0.457	0.352	0.105	1359.198
mol_33_0_0	mol_33	0.276	0.257	0.019	0.45	0.415	0.035	0.441	0.402	0.039	1555.798
mol_83_0_4	mol_83	0.275	0.226	0.049	0.47	0.377	0.093	0.455	0.361	0.094	1394.443
mol_50_0_0	mol_50	0.275	0.223	0.052	0.481	0.378	0.103	0.447	0.351	0.096	1355.348
mol_49_0_0	mol_49	0.274	0.251	0.024	0.464	0.416	0.048	0.431	0.387	0.045	1491.244
mol_86_0_4	mol_86	0.274	0.254	0.02	0.456	0.415	0.041	0.434	0.395	0.039	1525.717
mol_99_0_2	mol_99	0.274	0.22	0.053	0.47	0.367	0.102	0.456	0.355	0.1	1373.958
mol_15_0_0	mol_15	0.273	0.244	0.03	0.458	0.401	0.057	0.442	0.384	0.058	1481.754
mol_56_0_2	mol_56	0.273	0.211	0.062	0.488	0.367	0.122	0.445	0.332	0.113	1280.239
mol_79_0_2	mol_79	0.273	0.186	0.087	0.47	0.312	0.158	0.478	0.315	0.162	1221.508
mol_51_0_2	mol_51	0.273	0.241	0.032	0.461	0.397	0.063	0.44	0.38	0.06	1468.874
mol_72_0_0	mol_72	0.272	0.234	0.039	0.446	0.374	0.072	0.461	0.384	0.077	1488.294
mol_58_0_4	mol_58	0.272	0.252	0.02	0.452	0.411	0.041	0.433	0.395	0.039	1524.308
mol_48_0_0	mol_48	0.271	0.206	0.065	0.453	0.334	0.119	0.476	0.351	0.125	1361.201
